タイトル,ヘッダー,音声ファイル1,音声ファイル2,音声ファイル3,音声,音声英語,音声中国
桃太郎,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/wbzf5kJdc22cQ8Yd8QId.PNG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097474/%E6%A1%83%E5%A4%AA%E9%83%8E_nt33iy.mp3,,
花咲かじい,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/QZq2GtRqQdPg2CfJEPtZ.PNG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097496/%E8%8A%B1%E5%92%B2%E3%81%8B%E3%81%97%E3%82%99%E3%81%84_basrpo.mp3,,
風呂は野つぼ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/0AZj3DXw82w8l0VqJCwo.JPG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097484/%E9%A2%A8%E5%91%82%E3%81%AF%E9%87%8E%E3%81%A4%E3%81%BB%E3%82%99_dgx2j8.mp3,,
キュウモウだぬき,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/XDMJMtLxbLlRUxs3rg6I.JPG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097464/%E3%82%AD%E3%83%A5%E3%82%A6%E3%83%A2%E3%82%A6%E3%81%9F%E3%82%99%E3%81%AC%E3%81%8D_xpwaxq.mp3,,
古川八幡宮の開けずの箱,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/DzkNIv7L9ab8jyTOtQrt.JPG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097483/%E5%90%89%E5%B7%9D%E5%85%AB%E5%B9%A1%E5%AE%AE%E3%81%AE%E9%96%8B%E3%81%91%E3%81%99%E3%82%99%E3%81%AE%E7%AE%B1_d451sw.mp3,,
鉄砲幸左,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/qnBNETMmXVPEbgzeiLnM.PNG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097474/%E9%89%84%E7%A0%B2%E5%B9%B8%E5%B7%A6_ucljvn.mp3,,
お国じまん,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/JSYfNVNRYxnFRp42QhLD.PNG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097482/%E3%81%8A%E5%9B%BD%E3%81%97%E3%82%99%E3%81%BE%E3%82%93_hxglhs.mp3,,
吉備津彦命と鷺の巣温泉,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/AU8Ju4WKeqIfbVHWP2CB.PNG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097491/%E5%90%89%E5%82%99%E6%B4%A5%E5%BD%A6%E5%91%BD%E3%81%A8%E9%B7%BA%E3%81%AE%E5%B7%A3%E6%B8%A9%E6%B3%89_rmaszx.mp3,,
弘法芋としだれグリ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/1XsMYFLVEeKx216plhxz.JPG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097482/%E5%BC%98%E6%B3%95%E8%8A%8B%E3%81%A8%E3%81%97%E3%81%9F%E3%82%99%E3%82%8C%E3%82%AF%E3%82%99%E3%83%AA_umwveq.mp3,,
小豆洗いのおばあさん,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/6dsE6tJfWB1FBExudM7y.JPG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097481/%E5%B0%8F%E8%B1%86%E6%B4%97%E3%81%84%E3%81%AE%E3%81%8A%E3%81%AF%E3%82%99%E3%81%82%E3%81%95%E3%82%93_svqusa.mp3,,
若作りの水,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/vosvAPAwJ5ltzigrOkr2.JPG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097464/%E8%8B%A5%E8%BF%94%E3%82%8A%E3%81%AE%E6%B0%B4_bm7azf.mp3,,
馬ヶ渕のカッパ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/ZOgxULZaMzqsboU0s9He.PNG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097456/%E9%A6%AC%E3%83%B6%E6%B8%95%E3%81%AE%E3%82%AB%E3%83%83%E3%83%8F%E3%82%9A_qk2akf.mp3,,
古野池の人柱と大蛇,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/pTAPs3Ri7stRCv7S3D3u.PNG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097473/%E5%8F%A4%E9%87%8E%E6%B1%A0%E3%81%AE%E4%BA%BA%E6%9F%B1%E3%81%A8%E5%A4%A7%E8%9B%87_e3i8l1.mp3,,
大和神社のつめなし竜,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/7lLVhErGyiUA96ZVOMxA/pub/lAerLFa2CWYD3bLhGB69.PNG,,,,https://res.cloudinary.com/drdmagaey/video/upload/v1721097488/%E5%A4%A7%E5%92%8C%E7%A5%9E%E7%A4%BE%E3%81%AE%E3%81%A4%E3%82%81%E3%81%AA%E3%81%97%E7%AB%9C_%E3%82%B3%E3%83%A9%E3%83%9B%E3%82%99%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3_r4ci4n.mp3,https://res.cloudinary.com/drdmagaey/video/upload/v1721090757/%E5%A4%A7%E5%92%8C%E7%A5%9E%E7%A4%BE%E3%81%A4%E3%82%81%E3%81%AA%E3%81%97%E7%AB%9C_%E8%8B%B1%E8%AA%9E%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3_h23vhe.mp3,https://res.cloudinary.com/drdmagaey/video/upload/v1721090757/%E5%A4%A7%E5%92%8C%E7%A5%9E%E7%A4%BE%E3%81%A4%E3%82%81%E3%81%AA%E3%81%97%E7%AB%9C_%E4%B8%AD%E5%9B%BD%E8%AA%9E%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A7%E3%83%B3_cyb22e.mp3